Memory created, intialized to 0

Text code 0x00000000 (dec index): 0,-> Value : 
30f400080000204530f30001000030f00000000030f101000000e0230000000065207334000000d03f000000006013701a00000010

Byte address 0x0000024a (dec index): 586, Value : 46 , 2e
Byte address 0x0000024e (dec index): 590, Value : 46 , 2e
Byte address 0x0000026a (dec index): 618, Value : 46 , 2e
Byte address 0x000002bb (dec index): 699, Value : 46 , 2e
Byte address 0x00000307 (dec index): 775, Value : 46 , 2e
Byte address 0x0000034d (dec index): 845, Value : 46 , 2e
Byte address 0x0000012e (dec index): 302, Value : 48 , 30
Byte address 0x00000172 (dec index): 370, Value : 48 , 30
Byte address 0x00000102 (dec index): 258, Value : 49 , 31
Byte address 0x00000173 (dec index): 371, Value : 49 , 31
Byte address 0x00000249 (dec index): 585, Value : 49 , 31
Byte address 0x00000105 (dec index): 261, Value : 50 , 32
Byte address 0x00000171 (dec index): 369, Value : 50 , 32
Byte address 0x00000104 (dec index): 260, Value : 51 , 33
Byte address 0x0000013b (dec index): 315, Value : 54 , 36
Byte address 0x00000174 (dec index): 372, Value : 54 , 36
Byte address 0x0000024d (dec index): 589, Value : 54 , 36
Byte address 0x000002ad (dec index): 685, Value : 54 , 36
Byte address 0x0000013a (dec index): 314, Value : 56 , 38
Byte address 0x0000024c (dec index): 588, Value : 56 , 38
Byte address 0x000002ac (dec index): 684, Value : 56 , 38
Byte address 0x00000103 (dec index): 259, Value : 59 , 3b
Byte address 0x0000017f (dec index): 383, Value : 65 , 41
Byte address 0x0000030a (dec index): 778, Value : 66 , 42
Byte address 0x00000107 (dec index): 263, Value : 67 , 43
Byte address 0x00000176 (dec index): 374, Value : 67 , 43
Byte address 0x0000016c (dec index): 364, Value : 70 , 46
Byte address 0x00000235 (dec index): 565, Value : 73 , 49
Byte address 0x00000251 (dec index): 593, Value : 78 , 4e
Byte address 0x00000134 (dec index): 308, Value : 84 , 54
Byte address 0x00000196 (dec index): 406, Value : 84 , 54
Byte address 0x0000026d (dec index): 621, Value : 84 , 54
Byte address 0x000002be (dec index): 702, Value : 84 , 54
Byte address 0x00000101 (dec index): 257, Value : 91 , 5b
Byte address 0x0000012d (dec index): 301, Value : 91 , 5b
Byte address 0x0000010c (dec index): 268, Value : 97 , 61
Byte address 0x00000110 (dec index): 272, Value : 97 , 61
Byte address 0x0000011b (dec index): 283, Value : 97 , 61
Byte address 0x0000012a (dec index): 298, Value : 97 , 61
Byte address 0x00000148 (dec index): 328, Value : 97 , 61
Byte address 0x0000014e (dec index): 334, Value : 97 , 61
Byte address 0x00000154 (dec index): 340, Value : 97 , 61
Byte address 0x0000015f (dec index): 351, Value : 97 , 61
Byte address 0x0000016d (dec index): 365, Value : 97 , 61
Byte address 0x000001a1 (dec index): 417, Value : 97 , 61
Byte address 0x000001aa (dec index): 426, Value : 97 , 61
Byte address 0x000001bc (dec index): 444, Value : 97 , 61
Byte address 0x000001d6 (dec index): 470, Value : 97 , 61
Byte address 0x000001d9 (dec index): 473, Value : 97 , 61
Byte address 0x000001f3 (dec index): 499, Value : 97 , 61
Byte address 0x000001fb (dec index): 507, Value : 97 , 61
Byte address 0x00000210 (dec index): 528, Value : 97 , 61
Byte address 0x0000021c (dec index): 540, Value : 97 , 61
Byte address 0x00000238 (dec index): 568, Value : 97 , 61
Byte address 0x0000025d (dec index): 605, Value : 97 , 61
Byte address 0x00000264 (dec index): 612, Value : 97 , 61
Byte address 0x00000276 (dec index): 630, Value : 97 , 61
Byte address 0x00000282 (dec index): 642, Value : 97 , 61
Byte address 0x0000028a (dec index): 650, Value : 97 , 61
Byte address 0x0000028d (dec index): 653, Value : 97 , 61
Byte address 0x00000291 (dec index): 657, Value : 97 , 61
Byte address 0x0000029c (dec index): 668, Value : 97 , 61
Byte address 0x000002ce (dec index): 718, Value : 97 , 61
Byte address 0x000002d4 (dec index): 724, Value : 97 , 61
Byte address 0x000002e4 (dec index): 740, Value : 97 , 61
Byte address 0x000002ee (dec index): 750, Value : 97 , 61
Byte address 0x000002f3 (dec index): 755, Value : 97 , 61
Byte address 0x00000330 (dec index): 816, Value : 97 , 61
Byte address 0x0000034b (dec index): 843, Value : 97 , 61
Byte address 0x00000149 (dec index): 329, Value : 98 , 62
Byte address 0x000001a2 (dec index): 418, Value : 98 , 62
Byte address 0x000001c4 (dec index): 452, Value : 98 , 62
Byte address 0x00000145 (dec index): 325, Value : 99 , 63
Byte address 0x00000151 (dec index): 337, Value : 99 , 63
Byte address 0x0000015d (dec index): 349, Value : 99 , 63
Byte address 0x00000181 (dec index): 385, Value : 99 , 63
Byte address 0x00000186 (dec index): 390, Value : 99 , 63
Byte address 0x0000018d (dec index): 397, Value : 99 , 63
Byte address 0x0000019e (dec index): 414, Value : 99 , 63
Byte address 0x000001a6 (dec index): 422, Value : 99 , 63
Byte address 0x000001b7 (dec index): 439, Value : 99 , 63
Byte address 0x000001cd (dec index): 461, Value : 99 , 63
Byte address 0x000001e5 (dec index): 485, Value : 99 , 63
Byte address 0x000001ec (dec index): 492, Value : 99 , 63
Byte address 0x0000020e (dec index): 526, Value : 99 , 63
Byte address 0x0000021d (dec index): 541, Value : 99 , 63
Byte address 0x00000229 (dec index): 553, Value : 99 , 63
Byte address 0x0000025b (dec index): 603, Value : 99 , 63
Byte address 0x00000289 (dec index): 649, Value : 99 , 63
Byte address 0x0000028e (dec index): 654, Value : 99 , 63
Byte address 0x00000299 (dec index): 665, Value : 99 , 63
Byte address 0x000002a2 (dec index): 674, Value : 99 , 63
Byte address 0x000002b5 (dec index): 693, Value : 99 , 63
Byte address 0x000002c4 (dec index): 708, Value : 99 , 63
Byte address 0x000002e2 (dec index): 738, Value : 99 , 63
Byte address 0x00000301 (dec index): 769, Value : 99 , 63
Byte address 0x00000319 (dec index): 793, Value : 99 , 63
Byte address 0x0000032a (dec index): 810, Value : 99 , 63
Byte address 0x00000157 (dec index): 343, Value : 100 , 64
Byte address 0x000001be (dec index): 446, Value : 100 , 64
Byte address 0x00000239 (dec index): 569, Value : 100 , 64
Byte address 0x0000023e (dec index): 574, Value : 100 , 64
Byte address 0x00000257 (dec index): 599, Value : 100 , 64
Byte address 0x00000259 (dec index): 601, Value : 100 , 64
Byte address 0x0000029e (dec index): 670, Value : 100 , 64
Byte address 0x000002a0 (dec index): 672, Value : 100 , 64
Byte address 0x000002a4 (dec index): 676, Value : 100 , 64
Byte address 0x000002c7 (dec index): 711, Value : 100 , 64
Byte address 0x000002f0 (dec index): 752, Value : 100 , 64
Byte address 0x0000032d (dec index): 813, Value : 100 , 64
Byte address 0x00000332 (dec index): 818, Value : 100 , 64
Byte address 0x0000013e (dec index): 318, Value : 101 , 65
Byte address 0x00000142 (dec index): 322, Value : 101 , 65
Byte address 0x00000144 (dec index): 324, Value : 101 , 65
Byte address 0x0000014b (dec index): 331, Value : 101 , 65
Byte address 0x00000153 (dec index): 339, Value : 101 , 65
Byte address 0x00000156 (dec index): 342, Value : 101 , 65
Byte address 0x00000159 (dec index): 345, Value : 101 , 65
Byte address 0x0000015c (dec index): 348, Value : 101 , 65
Byte address 0x0000016a (dec index): 362, Value : 101 , 65
Byte address 0x0000017c (dec index): 380, Value : 101 , 65
Byte address 0x00000185 (dec index): 389, Value : 101 , 65
Byte address 0x0000018a (dec index): 394, Value : 101 , 65
Byte address 0x00000192 (dec index): 402, Value : 101 , 65
Byte address 0x0000019b (dec index): 411, Value : 101 , 65
Byte address 0x0000019d (dec index): 413, Value : 101 , 65
Byte address 0x000001a4 (dec index): 420, Value : 101 , 65
Byte address 0x000001b1 (dec index): 433, Value : 101 , 65
Byte address 0x000001b4 (dec index): 436, Value : 101 , 65
Byte address 0x000001e0 (dec index): 480, Value : 101 , 65
Byte address 0x000001f0 (dec index): 496, Value : 101 , 65
Byte address 0x000001f5 (dec index): 501, Value : 101 , 65
Byte address 0x00000200 (dec index): 512, Value : 101 , 65
Byte address 0x00000219 (dec index): 537, Value : 101 , 65
Byte address 0x00000221 (dec index): 545, Value : 101 , 65
Byte address 0x00000233 (dec index): 563, Value : 101 , 65
Byte address 0x00000252 (dec index): 594, Value : 101 , 65
Byte address 0x00000254 (dec index): 596, Value : 101 , 65
Byte address 0x00000260 (dec index): 608, Value : 101 , 65
Byte address 0x00000269 (dec index): 617, Value : 101 , 65
Byte address 0x00000273 (dec index): 627, Value : 101 , 65
Byte address 0x00000278 (dec index): 632, Value : 101 , 65
Byte address 0x00000297 (dec index): 663, Value : 101 , 65
Byte address 0x000002a1 (dec index): 673, Value : 101 , 65
Byte address 0x000002a5 (dec index): 677, Value : 101 , 65
Byte address 0x000002a9 (dec index): 681, Value : 101 , 65
Byte address 0x000002c0 (dec index): 704, Value : 101 , 65
Byte address 0x000002c3 (dec index): 707, Value : 101 , 65
